	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
82	黄连素抑制耐药结肠癌细胞干性的作用机制研究	文科	湖北医药学院	硕士	2024		115	原版阅读      CNKI AI阅读
83	《医宗金鉴·外科心法要诀》外痈阳证内治方剂的配伍特点研究	程新雅	黑龙江中医药大学	硕士	2024		137	原版阅读      CNKI AI阅读
84	车前子药性、功效及临床用药思维的文献研究	常思潮	黑龙江中医药大学	硕士	2024		380	原版阅读      CNKI AI阅读
85	蒙药地格达-8味胶囊的制备工艺及质量标准研究	齐力格尔	内蒙古民族大学	硕士	2024		184	原版阅读      CNKI AI阅读
86	基于数据挖掘的全国名老中医治疗慢性萎缩性胃炎的用药规律研究	李雪阳	长春中医药大学	硕士	2024		410	原版阅读      CNKI AI阅读
87	基于态靶辨治理论探究陈锐教授治疗2型糖尿病伴血脂异常的用药规律及作用机制	温晓娟	长春中医药大学	硕士	2024		180	原版阅读      CNKI AI阅读
88	基于近70年文献医案研究不寐的关联脏腑分布及遣方用药规律	孙美玉	长春中医药大学	硕士	2024	1	234	原版阅读      CNKI AI阅读
89	基于态靶辨治理论探讨陈锐教授治疗2型糖尿病合并高尿酸血症的用药规律和作用机制研究	张鑫	长春中医药大学	硕士	2024		206	原版阅读      CNKI AI阅读
90	基于数据挖掘技术分析李光英教授治疗广泛性焦虑症的用药规律研究	李佳媛	长春中医药大学	硕士	2024		84	原版阅读      CNKI AI阅读
91	南征教授治疗消渴心病经验的数据挖掘研究	刘真如	长春中医药大学	硕士	2024		100	原版阅读      CNKI AI阅读
92	黄连温胆汤合孔圣枕中丹治疗儿童多动症（痰火内扰证）临床疗效观察	王银红	长春中医药大学	硕士	2024		215	原版阅读      CNKI AI阅读
93	加味黄连解毒汤湿热敷治疗蠕形螨相关干眼的临床研究	刘星彤	长春中医药大学	硕士	2024		131	原版阅读      CNKI AI阅读
94	基于数据挖掘技术探究全国名老中医治疗溃疡性结肠炎的用药规律	钱禹杭	长春中医药大学	硕士	2024		321	原版阅读      CNKI AI阅读
95	针药结合治疗阴虚火旺型郁证伴不寐	李丰男	长春中医药大学	硕士	2024		205	原版阅读      CNKI AI阅读
96	《千金方》外治法文献整理研究	郭翠霞	黑龙江中医药大学	硕士	2024		263	原版阅读      CNKI AI阅读
97	基于古今文献和网络药理学的寻常性痤疮中医治疗用药规律研究	陈希	黑龙江中医药大学	硕士	2024	1	416	原版阅读      CNKI AI阅读
98	孔伯华治疗脾胃病的方药特点研究	陈昌瑾	黑龙江中医药大学	硕士	2024		120	原版阅读      CNKI AI阅读
